materia;nombre;creditos;id;dia;hora_inicio;minuto_inicio;hora_fin;minuto_fin;duracion;senhalizacion;edificio;capacidad;extension;area;tiene_movil_express;tipo_mobiliario;es_fijo;id;crn;semestre;numero_seccion;cupos;inscritos;disponibles;profesor1;profesor2;profesor3;id;curso;seccion;salon;franja
ADMI-1203;PLANEACION FINANCIERA;3;28288;J;6;30;7;50;80;AU_102;AU;48.0;5602.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-12118;12118;2018-01;3;43;44;-1;TRUJILLO REYES OSCAR FRANCISCO;;;28350;ADMI-1203;2018-01-12118;AU_102;28288
ADMI-1203;PLANEACION FINANCIERA;3;28357;V;11;0;12;20;80;C_209;C_;57.0;;88,1;si;Silla mÃ³vil y mesa fija;Fijo;2018-01-11123;11123;2018-01;4;43;41;2;LOPEZ FAJARDO MARIANO ALBERTO;;;28357;ADMI-1203;2018-01-11123;C_209;28357
ADMI-1203;PLANEACION FINANCIERA;3;28358;M;11;0;12;20;80;C_209;C_;57.0;;88,1;si;Silla mÃ³vil y mesa fija;Fijo;2018-01-11123;11123;2018-01;4;43;41;2;LOPEZ FAJARDO MARIANO ALBERTO;;;28358;ADMI-1203;2018-01-11123;C_209;28358
ADMI-1590;TALLER DE CREATIVIDAD;1;28362;L;9;30;12;20;190;SD_203;SD;26.0;;58,8;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-17185;17185;2018-01;1;26;24;2;LEON DIAZ INGRID MARCELA;;;28362;ADMI-1590;2018-01-17185;SD_203;28362
ADMI-1590;TALLER DE CREATIVIDAD;1;28369;M;8;0;10;50;170;AU_205;AU;40.0;5612.0;59,8;SI;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-20917;20917;2018-01;2;30;29;1;COLMENARES MISAS CARLOS FELIPE;;;28369;ADMI-1590;2018-01-20917;AU_205;28369
ADMI-1590;TALLER DE CREATIVIDAD;1;28376;I;8;0;10;50;170;AU_107;AU;36.0;5605.0;46,3;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-23194;23194;2018-01;3;30;20;10;KONOVALOV OLEG;;;28376;ADMI-1590;2018-01-23194;AU_107;28376
ADMI-1590;TALLER DE CREATIVIDAD;1;28383;L;14;0;16;50;170;AU_107;AU;36.0;5605.0;46,3;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-23195;23195;2018-01;4;30;24;6;FLECHAS BUSTOS ANGELICA MARIA;;;28383;ADMI-1590;2018-01-23195;AU_107;28383
ADMI-1590;TALLER DE CREATIVIDAD;1;28390;M;11;0;13;50;170;AU_107;AU;36.0;5605.0;46,3;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-28783;28783;2018-01;5;32;31;1;LEON DIAZ INGRID MARCELA;;;28390;ADMI-1590;2018-01-28783;AU_107;28390
ADMI-1590;TALLER DE CREATIVIDAD;1;28397;J;14;0;16;50;170;LL_205;LL;32.0;5087.0;51,2;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-31229;31229;2018-01;6;31;31;0;NEIRA ROA ANGIE CAROLINA;;;28397;ADMI-1590;2018-01-31229;LL_205;28397
ADMI-1602;TALLER AUTOCONOCIMIENTO;2;28404;L;6;30;9;20;190;SD_201;SD;26.0;;58,8;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-11013;11013;2018-01;1;25;24;1;URIBE ARBELAEZ SOFIA;;;28404;ADMI-1602;2018-01-11013;SD_201;28404
ADMI-1602;TALLER AUTOCONOCIMIENTO;2;28411;M;6;30;9;20;190;AU_208;AU;27.0;5615.0;30,9;No;Pupitre universitario;Movil;2018-01-13920;13920;2018-01;2;25;22;3;ACOSTA PEREIRA ANA MILENA;;;28411;ADMI-1602;2018-01-13920;AU_208;28411
ADMI-1602;TALLER AUTOCONOCIMIENTO;2;28383;L;14;0;16;50;170;AU_307;AU;31.0;5625.0;29,4;No;Pupitre universitario;Movil;2018-01-11014;11014;2018-01;3;25;25;0;MUNOZ CIFUENTES JESUS ANTONIO;;;28418;ADMI-1602;2018-01-11014;AU_307;28383
ADMI-1602;TALLER AUTOCONOCIMIENTO;2;28425;V;14;0;16;50;170;AU_310;AU;27.0;5628.0;31;No;Pupitre universitario;Movil;2018-01-11015;11015;2018-01;4;25;23;2;BERNAL VARGAS LUZ STELLA;;;28425;ADMI-1602;2018-01-11015;AU_310;28425
ADMI-1602;TALLER AUTOCONOCIMIENTO;2;28369;M;8;0;10;50;170;AU_107;AU;36.0;5605.0;46,3;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-28720;28720;2018-01;5;25;23;2;LEON DIAZ INGRID MARCELA;;;28432;ADMI-1602;2018-01-28720;AU_107;28369
ADMI-1602;TALLER AUTOCONOCIMIENTO;2;28439;J;9;30;12;20;190;SD_205;SD;26.0;;58,8;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-17132;17132;2018-01;6;25;25;0;TRIANA QUIJANO ADRIANA FERNANDA;;;28439;ADMI-1602;2018-01-17132;SD_205;28439
ADMI-1602;TALLER AUTOCONOCIMIENTO;2;28362;L;9;30;12;20;190;AU_310;AU;27.0;5628.0;31;No;Pupitre universitario;Movil;2018-01-18587;18587;2018-01;7;25;23;2;URIBE ARBELAEZ SOFIA;;;28446;ADMI-1602;2018-01-18587;AU_310;28362
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28325;L;14;0;15;20;80;O_401;O_;50.0;5267.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10133;10133;2018-01;1;40;32;8;MANDALAKI EMMANOUELA;;;28453;ADMI-1603;2018-01-10133;O_401;28325
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28326;I;14;0;15;20;80;O_401;O_;50.0;5267.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10133;10133;2018-01;1;40;32;8;MANDALAKI EMMANOUELA;;;28454;ADMI-1603;2018-01-10133;O_401;28326
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28279;L;9;30;10;50;80;Q_306;Q_;48.0;1454.0;86,3;SI;Silla mÃ³vil y mesa fija;Fijo;2018-01-10134;10134;2018-01;3;40;37;3;MANDALAKI EMMANOUELA;;;28461;ADMI-1603;2018-01-10134;Q_306;28279
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28280;I;9;30;10;50;80;Q_306;Q_;48.0;1454.0;86,3;SI;Silla mÃ³vil y mesa fija;Fijo;2018-01-10134;10134;2018-01;3;40;37;3;MANDALAKI EMMANOUELA;;;28462;ADMI-1603;2018-01-10134;Q_306;28280
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28469;I;12;30;13;50;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-23026;23026;2018-01;5;40;39;1;MANDALAKI EMMANOUELA;;;28469;ADMI-1603;2018-01-23026;B_201;28469
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28470;L;12;30;13;50;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-23026;23026;2018-01;5;40;39;1;MANDALAKI EMMANOUELA;;;28470;ADMI-1603;2018-01-23026;B_201;28470
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28358;M;11;0;12;20;80;AU_104;AU;48.0;5604.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-23082;23082;2018-01;7;40;40;0;MEISTER ALYSON LEE;;;28474;ADMI-1603;2018-01-23082;AU_104;28358
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28310;J;11;0;12;20;80;AU_104;AU;48.0;5604.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-23082;23082;2018-01;7;40;40;0;MEISTER ALYSON LEE;;;28475;ADMI-1603;2018-01-23082;AU_104;28310
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28482;M;12;30;13;50;80;AU_104;AU;48.0;5604.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-31091;31091;2018-01;9;40;40;0;MEISTER ALYSON LEE;;;28482;ADMI-1603;2018-01-31091;AU_104;28482
ADMI-1603;COMPORT. ORGANIZACION.(INGLES);3;28483;J;12;30;13;50;80;AU_104;AU;48.0;5604.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-31091;31091;2018-01;9;40;40;0;MEISTER ALYSON LEE;;;28483;ADMI-1603;2018-01-31091;AU_104;28483
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28289;L;6;30;7;50;80;B_401;B_;81.0;;159,2;No (es salas de computo tambiÃ©n);Silla mÃ³vil y mesa fija;Fijo;2018-01-11547;11547;2018-01;1;74;33;41;GARAVITO SUAREZ MARTHA ELIZABETH;;;28490;ADMI-2104B;2018-01-11547;B_401;28289
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28294;I;6;30;7;50;80;B_401;B_;81.0;;159,2;No (es salas de computo tambiÃ©n);Silla mÃ³vil y mesa fija;Fijo;2018-01-11547;11547;2018-01;1;74;33;41;GARAVITO SUAREZ MARTHA ELIZABETH;;;28491;ADMI-2104B;2018-01-11547;B_401;28294
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28301;L;8;0;9;20;80;SD_803;SD;82.0;1163.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-21174;21174;2018-01;2;74;63;11;GARAVITO SUAREZ MARTHA ELIZABETH;;;28498;ADMI-2104B;2018-01-21174;SD_803;28301
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28302;I;8;0;9;20;80;SD_803;SD;82.0;1163.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-21174;21174;2018-01;2;74;63;11;GARAVITO SUAREZ MARTHA ELIZABETH;;;28499;ADMI-2104B;2018-01-21174;SD_803;28302
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28358;M;11;0;12;20;80;SD_802;SD;82.0;1115.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-13121;13121;2018-01;3;74;55;19;DAVILA LADRON DE GUE CARLOS;;;28506;ADMI-2104B;2018-01-13121;SD_802;28358
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28310;J;11;0;12;20;80;SD_802;SD;82.0;1115.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-13121;13121;2018-01;3;74;55;19;DAVILA LADRON DE GUE CARLOS;;;28507;ADMI-2104B;2018-01-13121;SD_802;28310
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28482;M;12;30;13;50;80;SD_801;SD;82.0;1110.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-25486;25486;2018-01;4;74;54;20;DAVILA LADRON DE GUE CARLOS;;;28514;ADMI-2104B;2018-01-25486;SD_801;28482
ADMI-2104B;HISTORIA DESARROLLO EMPRES.COL;3;28483;J;12;30;13;50;80;SD_801;SD;82.0;1110.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-25486;25486;2018-01;4;74;54;20;DAVILA LADRON DE GUE CARLOS;;;28515;ADMI-2104B;2018-01-25486;SD_801;28483
ADMI-2106;RESPONSABILIDAD SOCIAL INGLES;3;28522;V;8;0;10;50;170;LL_303;LL;50.0;5091.0;51,5;No;Pupitre universitario;Movil;2018-01-10637;10637;2018-01;1;50;47;3;RUEDA FAJARDO XIMENA;;;28522;ADMI-2106;2018-01-10637;LL_303;28522
ADMI-2106;RESPONSABILIDAD SOCIAL INGLES;3;28529;I;11;0;13;50;170;C_308;C_;60.0;;89,8;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-11216;11216;2018-01;2;55;53;2;FRANCO BORRERO NATHALIA;;;28529;ADMI-2106;2018-01-11216;C_308;28529
ADMI-2106;RESPONSABILIDAD SOCIAL INGLES;3;28536;L;15;30;16;50;80;O_301;O_;56.0;5261.0;64,2;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10135;10135;2018-01;3;50;44;6;GARCIA LOPEZ JORGE HERNAN;;;28536;ADMI-2106;2018-01-10135;O_301;28536
ADMI-2106;RESPONSABILIDAD SOCIAL INGLES;3;28537;J;15;30;16;50;80;O_301;O_;56.0;5261.0;64,2;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10135;10135;2018-01;3;50;44;6;GARCIA LOPEZ JORGE HERNAN;;;28537;ADMI-2106;2018-01-10135;O_301;28537
ADMI-2107;GERENCIA DE RECURSOS HUMANOS;3;28309;L;11;0;12;20;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10427;10427;2018-01;1;45;19;26;GATTAS BULTAIF LINA PATRICIA;BAQUERO FANDIÃO DIANA VICTORIA;;28544;ADMI-2107;2018-01-10427;B_201;28309
ADMI-2107;GERENCIA DE RECURSOS HUMANOS;3;28310;J;11;0;12;20;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10427;10427;2018-01;1;45;19;26;GATTAS BULTAIF LINA PATRICIA;BAQUERO FANDIÃO DIANA VICTORIA;;28545;ADMI-2107;2018-01-10427;B_201;28310
ADMI-2107;GERENCIA DE RECURSOS HUMANOS;3;28302;I;8;0;9;20;80;O_401;O_;50.0;5267.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10502;10502;2018-01;2;45;38;7;AMAYA GONZALEZ RENATA;BAQUERO FANDIÃO DIANA VICTORIA;;28552;ADMI-2107;2018-01-10502;O_401;28302
ADMI-2107;GERENCIA DE RECURSOS HUMANOS;3;28553;V;8;0;9;20;80;O_401;O_;50.0;5267.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-10502;10502;2018-01;2;45;38;7;AMAYA GONZALEZ RENATA;BAQUERO FANDIÃO DIANA VICTORIA;;28553;ADMI-2107;2018-01-10502;O_401;28553
ADMI-2204;DECISIONES DE INVERSION;3;28309;L;11;0;12;20;80;C_105;C_;60.0;;86,7;si;Silla mÃ³vil y mesa fija;Fijo;2018-01-25488;25488;2018-01;1;51;51;0;BAUTISTA MENA RAFAEL DE JESUS;;;28560;ADMI-2204;2018-01-25488;C_105;28309
ADMI-2204;DECISIONES DE INVERSION;3;28342;I;11;0;12;20;80;C_105;C_;60.0;;86,7;si;Silla mÃ³vil y mesa fija;Fijo;2018-01-25488;25488;2018-01;1;51;51;0;BAUTISTA MENA RAFAEL DE JESUS;;;28561;ADMI-2204;2018-01-25488;C_105;28342
ADMI-2204;DECISIONES DE INVERSION;3;28568;V;15;30;16;50;80;SD_716;SD;65.0;1105.0;140,4;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-11425;11425;2018-01;4;50;15;35;MORA VALENCIA ANDRES;;;28568;ADMI-2204;2018-01-11425;SD_716;28568
ADMI-2204;DECISIONES DE INVERSION;3;28569;I;15;30;16;50;80;SD_716;SD;65.0;1105.0;140,4;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-11425;11425;2018-01;4;50;15;35;MORA VALENCIA ANDRES;;;28569;ADMI-2204;2018-01-11425;SD_716;28569
ADMI-2204;DECISIONES DE INVERSION;3;28573;M;14;0;15;20;80;C_307;C_;60.0;;89,7;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-18596;18596;2018-01;5;51;40;11;MANTILLA GARCIA DANIEL;;;28573;ADMI-2204;2018-01-18596;C_307;28573
ADMI-2204;DECISIONES DE INVERSION;3;28574;J;14;0;15;20;80;C_307;C_;60.0;;89,7;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-18596;18596;2018-01;5;51;40;11;MANTILLA GARCIA DANIEL;;;28574;ADMI-2204;2018-01-18596;C_307;28574
ADMI-2204;DECISIONES DE INVERSION;3;28342;I;11;0;12;20;80;C_307;C_;60.0;;89,7;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-31092;31092;2018-01;6;50;38;12;CARDONA MAGNE EMILIO;;;28581;ADMI-2204;2018-01-31092;C_307;28342
ADMI-2204;DECISIONES DE INVERSION;3;28357;V;11;0;12;20;80;C_307;C_;60.0;;89,7;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-31092;31092;2018-01;6;50;38;12;CARDONA MAGNE EMILIO;;;28582;ADMI-2204;2018-01-31092;C_307;28357
ADMI-2205;FINANZAS 3:ESTRATEGIA;3;28469;I;12;30;13;50;80;AU_205;AU;40.0;5612.0;59,8;SI;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-11426;11426;2018-01;3;35;21;14;CARDONA MAGNE EMILIO;;;28589;ADMI-2205;2018-01-11426;AU_205;28469
ADMI-2205;FINANZAS 3:ESTRATEGIA;3;28590;V;12;30;13;50;80;AU_205;AU;40.0;5612.0;59,8;SI;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-11426;11426;2018-01;3;35;21;14;CARDONA MAGNE EMILIO;;;28590;ADMI-2205;2018-01-11426;AU_205;28590
ADMI-2205;FINANZAS 3:ESTRATEGIA;3;28309;L;11;0;12;20;80;AU_401;AU;40.0;5631.0;46;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-31093;31093;2018-01;4;39;36;3;MALAGON PENEN JULIANA;;;28597;ADMI-2205;2018-01-31093;AU_401;28309
ADMI-2205;FINANZAS 3:ESTRATEGIA;3;28342;I;11;0;12;20;80;AU_401;AU;40.0;5631.0;46;Si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-31093;31093;2018-01;4;39;36;3;MALAGON PENEN JULIANA;;;28598;ADMI-2205;2018-01-31093;AU_401;28342
ADMI-2206;COMPORTAMIENTO DEL CONSUMIDOR;3;28279;L;9;30;10;50;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-14896;14896;2018-01;6;40;34;6;TRUJILLO CARLOS ANDRES;;;28605;ADMI-2206;2018-01-14896;B_201;28279
ADMI-2206;COMPORTAMIENTO DEL CONSUMIDOR;3;28606;J;9;30;10;50;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-14896;14896;2018-01;6;40;34;6;TRUJILLO CARLOS ANDRES;;;28606;ADMI-2206;2018-01-14896;B_201;28606
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28309;L;11;0;12;20;80;O_302;O_;56.0;5262.0;64,2;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-13554;13554;2018-01;1;48;46;2;WILLS HERRERA EDUARDO;;;28613;ADMI-2207;2018-01-13554;O_302;28309
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28310;J;11;0;12;20;80;O_302;O_;56.0;5262.0;64,2;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-13554;13554;2018-01;1;48;46;2;WILLS HERRERA EDUARDO;;;28614;ADMI-2207;2018-01-13554;O_302;28310
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28621;M;8;0;9;20;80;O_402;O_;50.0;5268.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-12119;12119;2018-01;3;46;41;5;CASTILLO VALLEJO ALEJANDRO;;;28621;ADMI-2207;2018-01-12119;O_402;28621
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28622;J;8;0;9;20;80;O_402;O_;50.0;5268.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-12119;12119;2018-01;3;46;41;5;CASTILLO VALLEJO ALEJANDRO;;;28622;ADMI-2207;2018-01-12119;O_402;28622
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28349;M;6;30;7;50;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-14899;14899;2018-01;5;45;25;20;CASTILLO VALLEJO ALEJANDRO;;;28629;ADMI-2207;2018-01-14899;B_201;28349
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28288;J;6;30;7;50;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-14899;14899;2018-01;5;45;25;20;CASTILLO VALLEJO ALEJANDRO;;;28630;ADMI-2207;2018-01-14899;B_201;28288
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28301;L;8;0;9;20;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-23649;23649;2018-01;6;48;47;1;CASTANO MESA LINA MARIA;;;28637;ADMI-2207;2018-01-23649;B_201;28301
ADMI-2207;COLOMBIA Y SUS INSTIT.(ADMON);3;28622;J;8;0;9;20;80;B_201;B_;51.0;1439.0;122,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-23649;23649;2018-01;6;48;47;1;CASTANO MESA LINA MARIA;;;28638;ADMI-2207;2018-01-23649;B_201;28622
