;Semestre;CRN;Materia;Seccion;Creditos;Titulo;Cupo;Inscritos;Disponible;1Dias;1Horas;1Salon;Area util_s1;Bloque_s1;Capacidad_s1;Ext_s1;Fijo/Movil_s1;Movil Express_s1;Tipo Mobiliario_s1;1F. Inicial;1F. Final;2Dias;2Horas;2Salon;Area util_s2;Bloque_s2;Capacidad_s2;Ext_s2;Fijo/Movil_s2;Movil Express_s2;Tipo Mobiliario_s2;2F. Inicial;2F. Final;3Dias;3Horas;3Salon;Area util_s3;Bloque_s3;Capacidad_s3;Ext_s3;Fijo/Movil_s3;Movil Express_s3;Tipo Mobiliario_s3;3F. Inicial;3F. Final;1Instructor;2Instructor;3Instructor
61;2018-01;18597;ADMI-2301;8;3;FUNDAMENTOS DE MERCADEO;49;47;2;I;0930 - 1050;LL_303;51,5;LL;50.0;5091.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;L;0930 - 1050;ML_510;98,1;ML;69.0;1617.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;DAKDUK VALLE SILVANA MARIA;;
62;2018-01;10140;ADMI-2302;1;3;INVESTIGACION DE MERCADOS;53;44;9;LI;1530 - 1650;SD_704;144,8;Sd;60.0;1106.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BARRIOS FAJARDO ANDRES ALBERTO;;
63;2018-01;10180;ADMI-2302;2;3;INVESTIGACION DE MERCADOS;54;53;1;LI;1400 - 1520;SD_704;144,8;Sd;60.0;1106.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BARRIOS FAJARDO ANDRES ALBERTO;;
64;2018-01;20900;ADMI-2302;3;3;INVESTIGACION DE MERCADOS;50;50;0;J;0800 - 0920;Y_101;96;Y;60.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;L;0800 - 0920;SD_704;144,8;Sd;60.0;1106.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;MARTINEZ FALLA FELIPE ANDRES;;
65;2018-01;11122;ADMI-2403;1;3;OPERACIONES Y LOGISTICA;55;51;4;LI;1400 - 1520;C_105;86,7;C;60.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BRITTO AGUDELO RODRIGO ALBERTO;;
66;2018-01;13207;ADMI-2403;2;3;OPERACIONES Y LOGISTICA;51;50;1;LJ;1100 - 1220;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VELASCO RODRIGUEZ NUBIA MILENA;;
67;2018-01;13556;ADMI-2403;4;3;OPERACIONES Y LOGIST. (INGLES);46;47;-1;MJ;1400 - 1520;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;THIELL MARCUS;;
68;2018-01;31418;ADMI-2403;5;3;OPERACIONES Y LOGISTICA;30;28;2;J;1400 - 1520;O_303;64,2;O;56.0;5263.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;M;1400 - 1520;ML_511;85,4;ML;61.0;1615.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;VILLA BETANCUR SEBASTIAN;;
69;2018-01;28711;ADMI-2501;1;3;ANALISIS ENTORNO COLOMBIANO;50;49;1;V;0630 - 0750;C_307;89,7;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;M;0630 - 0750;Y_101;96;Y;60.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;MARTINEZ GAITAN JAIME BERNARDO;;
70;2018-01;20826;ADMI-2501;2;3;ANALISIS ENTORNO COLOMBIANO;50;48;2;LJ;0800 - 0920;O_303;64,2;O;56.0;5263.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AZUERO ZUÑIGA FRANCISCO;;
71;2018-01;20827;ADMI-2501;3;3;ANALISIS ENTORNO COLOMBIANO;50;37;13;J;0800 - 0920;W_204;82,4;W;42.0;5007.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;0800 - 0920;Y_101;96;Y;60.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;MONTES JOYA JUAN CARLOS;;
72;2018-01;23161;ADMI-2501;5;3;ANALISIS ENTORNO COLOMBIANO;50;42;8;V;1230 - 1350;SD_702;140;Sd;65.0;1117.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;I;1230 - 1350;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;TABORDA RIOS RODRIGO;;
79;2018-01;14023;ADMI-2605;1;3;ORGANIZACIONES;50;28;22;LJ;0630 - 0750;LL_302;51,6;LL;52.0;5090.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DAVILA LADRON DE GUEVARA JOSE CAMILO;;
80;2018-01;14031;ADMI-2605;2;3;ORGANIZACIONES;50;47;3;MV;0630 - 0750;LL_301;51,6;LL;52.0;5089.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DAVILA LADRON DE GUEVARA JOSE CAMILO;;
81;2018-01;14032;ADMI-2605;3;3;ORGANIZACIONES;50;48;2;MV;0800 - 0920;B_203;88,6;B;53.0;1441.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RUIZ GUTIERREZ JAIME ALBERTO;;
82;2018-01;14085;ADMI-2605;4;3;ORGANIZACIONES;50;40;10;LJ;0930 - 1050;O_301;64,2;O;56.0;5261.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SCHNARCH GONZALEZ DAVID;;
83;2018-01;23646;ADMI-2605;6;3;ORGANIZACIONES;48;45;3;LJ;1100 - 1220;O_404;57,8;O;50.0;5270.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SCHNARCH GONZALEZ DAVID;;
84;2018-01;27948;ADMI-2605;7;3;ORGANIZACIONES;45;42;3;LI;1400 - 1520;SD_703;140,9;Sd;65.0;1116.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WILLS HERRERA EDUARDO;;
85;2018-01;10142;ADMI-2801;1;3;LA GESTION DE LO PUBLICO;50;49;1;MJ;1230 - 1350;ML_509;85,4;ML;61.0;1613.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RODRIGUEZ FRANCO DIANA;;
86;2018-01;13011;ADMI-2801;2;3;LA GESTION DE LO PUBLICO;48;31;17;J;1400 - 1520;LL_108;38;LL;36.0;5083.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;M;1400 - 1520;AU_201;59,8;Au;44.0;5608.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;VELEZ LESMEZ MARIA ALEJANDRA;;
87;2018-01;13746;ADMI-2801;3;3;LA GESTION DE LO PUBLICO;50;47;3;J;0930 - 1050;SD_801;140;Sd;82.0;1110.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;0930 - 1050;SD_715;140,4;Sd;65.0;1109.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;FORERO PINEDA CLEMENTE;TRIULZI GIORGIO;
88;2018-01;28076;ADMI-3107;2;3;CONSULTORIA;134;114;20;M;1530 - 1650;R_209;172,1;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SERVANTIE VINCIANE MARIE CATHERINE;;
89;2018-01;31018;ADMI-3107C;2;0;COMPLEMENTARIA CONSULTORÍA;19;19;0;V;1400 - 1650;AU_102;62,6;Au;48.0;5602.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;REINA CORREDOR CARLOS EDUARDO;;
90;2018-01;31019;ADMI-3107C;3;0;COMPLEMENTARIA CONSULTORÍA;19;19;0;V;1400 - 1650;O_405;60,9;O;44.0;5271.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JARAMILLO REGUEROS SANDRA;;
91;2018-01;31020;ADMI-3107C;4;0;COMPLEMENTARIA CONSULTORÍA;19;18;1;V;1400 - 1650;ML_614;109,6;ML;44.0;1627.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;KISHNER WUNZEL ISRAEL;;
92;2018-01;31021;ADMI-3107C;5;0;COMPLEMENTARIA CONSULTORÍA;19;19;0;V;1400 - 1650;Z_104;32,9;Z;32.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;COVALEDA SALAS ALICIA XIMENA;;
